Year,Name,MasFem,MinPressure_before,Minpressure_Updated 2014,Gender_MF,Category,alldeaths,NDAM,Elapsed Yrs,Source,ZMasFem,ZMinPressure_A,ZNDAM
1950,Easy,6.777778,958,960,1,3,2,1590,63,MWR,-9.3549634444668e-4,-0.35635823276827255,-0.4391328711332717
1950,King,1.388889,955,955,0,3,4,5350,63,MWR,-1.6707583545377118,-0.5112477953573217,-0.14842815420744535
1952,Able,3.833333,985,985,0,1,3,150,61,MWR,-0.913313087661111,1.0376478305331693,-0.5504665925091201
1953,Barbara,9.833333,987,987,1,1,1,58,60,MWR,0.9458710872513042,1.140907538925869,-0.5575795802636883
1953,Florence,8.333333,985,985,1,1,0,15,60,MWR,0.48107504352320035,1.0376478305331693,-0.5609041288881059
1954,Carol,8.111111,960,960,1,3,60,19321,59,MWR,0.4122164392369691,-0.2530985243755732,0.9317408883911504
1954,Edna,8.555556,954,954,1,3,20,3230,59,MWR,0.5499339576734605,-0.5628776495536714,-0.3123361328996666
1954,Hazel,9.444444,938,938,1,4,20,24260,59,MWR,0.8253683748183854,-1.3889553166952666,1.3136000896934525
1955,Connie,8.5,962,962,1,3,0,2030,58,MWR,0.5327191516698884,-0.14983881598287374,-0.40511423404620694
1955,Diane,9.888889,987,987,1,1,200,14730,58,MWR,0.9630858932548769,1.140907538925869,0.5767873364213449
1955,Ione,5.944444,960,960,0,3,7,6200,58,MWR,-0.25915572721385705,-0.2530985243755732,-0.0827103325619793
1956,Flossy,7,975,975,1,2,15,1540,57,MWR,0.06792310794178456,0.5213492885696724,-0.4429986253477109
1958,Helene,9.888889,946,946,1,3,1,540,55,MWR,0.9630858932548769,-0.975916483124469,-0.5203137096364945
1959,Debra,9.888889,984,984,1,1,0,430,54,MWR,0.9630858932548769,0.9860179763368198,-0.5288183689082607
1959,Gracie,9.777778,950,950,1,3,22,510,54,MWR,0.928656591111761,-0.7693970663390702,-0.522633162165158
1960,Donna,9.277778,930,930,1,4,50,53270,53,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,0.7737245765357263,-1.8019941502660644,3.556510684911065
1960,Ethel,8.722222,981,981,1,1,0,35,53,MWR,0.6015777559561196,0.8311284137477706,-0.5593578272023302
1961,Carla,9.5,931,931,1,4,46,15850,52,MWR,0.8425831808219576,-1.7503642960697146,0.6633802308247825
1963,Cindy,9.944444,996,996,1,1,3,300,50,MWR,0.9803003893944201,1.6055762266930163,-0.5388693298658026
1964,Cleo,7.944444,968,968,1,2,3,6450,49,MWR,0.36057233109028136,0.15994030919522448,-0.06338156148978338
1964,Dora,9.333333,966,966,1,2,5,16260,49,MWR,0.7909390726752696,0.05668060080252507,0.6950794153831839
1964,Hilda,8.833333,950,950,1,3,37,2770,49,MWR,0.636007058099235,-0.7693970663390702,-0.34790107167250706
1964,Isbell,9.444444,974,974,1,2,3,800,49,MWR,0.8253683748183854,0.4697194343733227,-0.5002117877214107
1965,Betsy,8.333333,948,948,1,3,75,20000,48,MWR,0.48107504352320035,-0.8726567747317696,0.9842378306232346
1966,Alma,8.777778,982,982,1,2,6,730,47,MWR,0.6187925619596918,0.8827582679441204,-0.5056238436216256
1966,Inez,8.277778,983,983,1,1,3,99,47,MWR,0.4638605473836572,0.9343881221404701,-0.5544096618078481
1967,Beulah,7.277778,950,950,1,3,15,5060,46,MWR,0.15399651823158794,-0.7693970663390702,-0.1708495286511926
1968,Gladys,8.944444,977,977,1,2,3,800,45,MWR,0.6704363602423509,0.6246089969623718,-0.5002117877214107
1969,Camille,9.055556,909,909,1,5,256,23040,44,MWR,0.7048659722494951,-2.886221088389408,1.2192756868611367
1970,Celia,9.444444,945,945,1,3,22,6870,43,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),0.8253683748183854,-1.0275463373208187,-0.03090922608849427
1971,Edith,8.5,978,978,1,2,0,300,42,MWR,0.5327191516698884,0.6762388511587215,-0.5388693298658026
1971,Fern,7.388889,979,979,1,1,2,500,42,MWR,0.18842582037470354,0.7278687053550712,-0.5234063130080459
1971,Ginger,10,995,995,1,1,0,200,42,MWR,0.9975151953979923,1.5539463724966665,-0.546600838294681
1972,Agnes,8.666667,980,980,1,1,117,20430,41,MWR,0.5843632598165764,0.7794985595514209,1.0174833168674116
1974,Carmen,8.722222,952,952,1,3,1,1180,39,MWR,0.6015777559561196,-0.6661373579463707,-0.470832055691673
1975,Eloise,8.944444,955,955,1,3,21,6190,38,MWR,0.6704363602423509,-0.5112477953573217,-0.08348348340486712
1976,Belle,10.444445,980,980,1,1,5,570,37,MWR,1.1352327138344835,0.7794985595514209,-0.517994257107831
1977,Babe,6.888889,995,995,1,1,0,66,36,MWR,0.03349380579866894,1.5539463724966665,-0.5569610595893779
1979,Bob,1.666667,986,986,0,1,1,70,34,MWR,-1.5846849442479085,1.0892776847295191,-0.5566517992522229
1979,David,1.722222,970,970,0,2,15,2700,34,MWR,-1.5674704481083652,0.2632000175879239,-0.35331312757272193
1979,Frederic,2.5,946,946,0,3,5,12770,34,MWR,-1.326465023242527,-0.975916483124469,0.42524977121532903
1980,Allen,2.666667,945,945,0,3,2,2130,33,MWR,-1.2748209150958392,-1.0275463373208187,-0.39738272561732857
1983,Alicia,9.833333,962,962,1,3,21,10400,30,MWR,0.9458710872513042,-0.14983881598287374,0.24201302145091186
1984,Diana,9.944444,949,949,1,2,3,410,29,MWR,0.9803003893944201,-0.8210269205354199,-0.5303646705940364
1985,Bob,1.666667,1002,1003,0,1,0,130,28,MWR,-1.5846849442479085,1.9153553518711144,-0.5520128941948957
1985,Danny,2.222222,987,987,0,1,1,160,28,MWR,-1.4125384335323306,1.140907538925869,-0.5496934416662322
1985,Elena,9.722222,959,959,1,3,4,4180,28,MWR,0.9114417851081889,-0.30472837857192286,-0.23888680282532218
1985,Gloria,9.5,942,942,1,3,8,3020,28,MWR,0.8425831808219576,-1.1824358999098679,-0.3285723006003112
1985,Juan,1.944444,971,971,0,1,12,4730,28,MWR,-1.4986118438221339,0.3148298717842736,-0.1963635064664912
1985,Kate,9.666667,967,967,1,2,5,1310,28,MWR,0.8942272889686457,0.10831045499887478,-0.46078109473413115
1986,Bonnie,9.388889,990,990,1,1,3,6,27,MWR,0.8081538786788423,1.295797101514918,-0.5615999646467049
1986,Charley,2.888889,990,990,0,1,5,58,27,MWR,-1.205962310809608,1.295797101514918,-0.5575795802636883
1987,Floyd,1.833333,993,993,0,1,0,1,26,MWR,-1.5330411459652493,1.450686664103967,-0.5619865400681489
1988,Florence,8.333333,984,984,1,1,1,4,25,MWR,0.48107504352320035,0.9860179763368198,-0.5617545948152826
1989,Chantal,9.055556,986,986,1,1,13,290,24,MWR,0.7048659722494951,1.0892776847295191,-0.5396424807086904
1989,Hugo,2.888889,934,934,0,4,21,20020,24,MWR,-1.205962310809608,-1.5954747334806654,0.9857841323090102
1989,Jerry,2.333333,983,983,0,1,3,230,24,MWR,-1.3781091313892146,0.9343881221404701,-0.5442813857660175
1991,Bob,1.666667,962,962,0,2,15,3620,22,MWR,-1.5846849442479085,-0.14983881598287374,-0.282183250027041
1992,Andrew,2.222222,922,922,0,5,62,66730,21,MWR,-1.4125384335323306,-2.215032983836862,4.5971717194380926
1993,Emily,9.833333,960,961,1,3,3,96,20,MWR,0.9458710872513042,-0.2530985243755732,-0.5546416070607144
1995,Erin,7.222222,973,973,1,2,6,1650,18,MWR,0.1367817122280158,0.418089580176973,-0.4344939660759447
1995,Opal,8.5,942,942,1,3,9,7550,18,MWR,0.5327191516698884,-1.1824358999098679,0.02166503122787858
1996,Bertha,8.5,974,974,1,2,8,700,17,MWR,0.5327191516698884,0.4697194343733227,-0.5079432961502891
1996,Fran,7.166667,954,954,1,3,26,8260,17,MWR,0.11956721608847258,-0.5628776495536714,0.07655874107291495
1997,Danny,2.222222,984,984,0,1,10,200,16,MWR,-1.4125384335323306,0.9860179763368198,-0.546600838294681
1998,Bonnie,9.388889,964,964,1,2,3,1650,15,MWR,0.8081538786788423,-0.04657910759017434,-0.4344939660759447
1998,Earl,1.888889,987,987,0,1,3,160,15,MWR,-1.5158263399616771,1.140907538925869,-0.5496934416662322
1998,Georges,2.277778,964,964,0,2,1,3870,15,MWR,-1.395323627528758,-0.04657910759017434,-0.2628544789548451
1999,Bret,2.333333,951,951,0,3,0,94,14,MWR,-1.3781091313892146,-0.7177672121427204,-0.554796237229292
1999,Floyd,1.833333,956,956,0,2,56,8130,14,MWR,-1.5330411459652493,-0.459617941160972,0.06650778011537307
1999,Irene,9.277778,987,964,1,1,8,1430,14,MWR,0.7737245765357263,1.140907538925869,-0.4515032846194771
2002,Lili,10.333333,963,963,1,1,2,1260,11,MWR,1.1008031018273388,-0.09820896178652404,-0.46464684894857033
2003,Claudette,9.166667,979,979,1,1,3,250,10,MWR,0.739295274392611,0.7278687053550712,-0.5427350840802417
2003,Isabel,9.388889,957,957,1,2,51,4980,10,MWR,0.8081538786788423,-0.40798808696462224,-0.1770347353942953
2004,Alex,4.166666,972,972,0,1,1,5,9,MWR,-0.8100251812317643,0.36645972598062326,-0.5616772797309938
2004,Charley,2.888889,941,941,0,4,10,20510,9,MWR,-1.205962310809608,-1.2340657541062174,1.023668523610514
2004,Frances,6,960,960,1,2,7,12620,9,MWR,-0.24194092121028465,-0.2530985243755732,0.41365250857201147
2004,Gaston,2.666667,985,985,0,1,8,170,9,MWR,-1.2748209150958392,1.0376478305331693,-0.5489202908233445
2004,Ivan,1.055556,946,946,0,3,25,18590,9,MWR,-1.7740462609670584,-0.975916483124469,0.8752235617760497
2004,Jeanne,8.5,950,950,1,3,5,10210,9,MWR,0.5327191516698884,-0.7693970663390702,0.22732315543604298
2005,Cindy,9.944444,991,991,1,1,1,350,8,MWR,0.9803003893944201,1.3474269557112677,-0.5350035756513634
2005,Dennis,2.444444,946,946,0,3,15,2650,8,MWR,-1.3436798292460994,-0.975916483124469,-0.3571788817871611
2005,Ophelia,9.166667,982,982,1,1,1,91,8,MWR,0.739295274392611,0.8827582679441204,-0.5550281824821583
2005,Rita,9.5,937,937,1,3,62,10690,8,MWR,0.8425831808219576,-1.4405851708916164,0.2644343958946591
2005,Wilma,8.611111,950,950,1,3,5,25960,8,MWR,0.5671484538130037,-0.7693970663390702,1.4450357329843846
2007,Humberto,2.388889,985,985,0,1,1,51,6,MWR,-1.3608943253856425,1.0376478305331693,-0.5581207858537097
2008,Dolly,9.833333,963,967,1,1,1,1110,5,MWR,0.9458710872513042,-0.09820896178652404,-0.47624411159188784
2008,Gustav,1.722222,951,954,0,2,52,4360,5,MWR,-1.5674704481083652,-0.7177672121427204,-0.22497008765334112
2008,Ike,1.888889,935,950,0,2,84,20370,5,MWR,-1.5158263399616771,-1.5438448792843158,1.0128444118100846
2011,Irene,9.277778,952,952,1,1,41,7110,2,MWR,0.7737245765357263,-0.6661373579463707,-0.01235360585918621
2012,Isaac,1.944444,965,966,0,1,5,24000,1,MWR,-1.4986118438221339,0.00505074660617536,1.2934981677783688
2012,Sandy,9,945,942,1,2,159,75000,1,MWR,0.687651166245923,-1.0275463373208187,5.236567466506333
