subj | RT | SL | DISP
29 | 1135 | LTPL | SDD
29 | 813 | LTPL | HD
29 | 543 | LTPL | SDD
29 | 541 | LTPL | STD
29 | 671 | HTPL | STD
29 | 612 | HTPL | SDD
29 | 551 | HTPL | HD
29 | 666 | LTPL | SDD
29 | 567 | HTPL | SDD
29 | 620 | HTPL | STD
29 | 464 | LTPL | STD
29 | 494 | LTPL | STD
29 | 770 | HTPL | SDD
29 | 542 | HTPL | HD
29 | 499 | HTPL | STD
29 | 530 | LTPL | SDD
29 | 466 | LTPL | SDD
29 | 829 | HTPL | SDD
29 | 702 | HTPL | HD
29 | 614 | LTPL | HD
29 | 706 | HTPL | SDD
29 | 446 | LTPL | HD
29 | 559 | LTPL | SDD
29 | 533 | LTPL | SDD
29 | 950 | HTPL | STD
29 | 475 | LTPL | STD
29 | 668 | LTPL | HD
29 | 583 | HTPL | HD
29 | 617 | HTPL | HD
29 | 1318 | LTPL | STD
29 | 885 | LTPL | SDD
29 | 507 | LTPL | HD
29 | 515 | LTPL | STD
29 | 499 | LTPL | SDD
29 | 575 | LTPL | STD
29 | 954 | HTPL | HD
29 | 784 | HTPL | STD
29 | 798 | HTPL | HD
29 | 818 | LTPL | HD
29 | 590 | HTPL | HD
29 | 596 | LTPL | HD
29 | 660 | HTPL | STD
29 | 796 | LTPL | HD
29 | 745 | HTPL | SDD
29 | 583 | HTPL | SDD
29 | 924 | LTPL | STD
29 | 546 | LTPL | SDD
29 | 644 | HTPL | SDD
29 | 735 | HTPL | SDD
29 | 587 | LTPL | SDD
29 | 555 | HTPL | SDD
29 | 874 | HTPL | HD
29 | 891 | LTPL | SDD
29 | 978 | HTPL | SDD
29 | 538 | LTPL | HD
29 | 800 | LTPL | STD
29 | 888 | LTPL | SDD
29 | 597 | HTPL | HD
29 | 679 | HTPL | SDD
29 | 987 | LTPL | SDD
29 | 585 | HTPL | HD
29 | 586 | HTPL | HD
29 | 559 | LTPL | HD
29 | 531 | HTPL | STD
29 | 550 | LTPL | STD
29 | 586 | HTPL | HD
29 | 673 | LTPL | HD
29 | 620 | HTPL | STD
29 | 570 | HTPL | HD
29 | 542 | HTPL | STD
29 | 526 | LTPL | SDD
29 | 701 | LTPL | SDD
29 | 631 | LTPL | STD
29 | 684 | LTPL | HD
29 | 666 | HTPL | STD
29 | 583 | HTPL | STD
29 | 665 | HTPL | HD
29 | 525 | LTPL | STD
29 | 522 | LTPL | HD
29 | 577 | LTPL | SDD
29 | 860 | LTPL | STD
29 | 695 | HTPL | STD
29 | 469 | HTPL | STD
29 | 585 | LTPL | HD
29 | 571 | HTPL | STD
29 | 512 | HTPL | STD
29 | 518 | HTPL | SDD
29 | 699 | HTPL | SDD
29 | 495 | HTPL | STD
29 | 676 | HTPL | HD
29 | 549 | LTPL | STD
29 | 814 | HTPL | STD
29 | 481 | LTPL | STD
29 | 604 | LTPL | STD
29 | 535 | HTPL | HD
29 | 559 | HTPL | SDD
29 | 788 | LTPL | HD
29 | 1144 | HTPL | SDD
29 | 690 | LTPL | STD
29 | 1045 | LTPL | SDD
29 | 617 | HTPL | SDD
29 | 815 | LTPL | STD
29 | 759 | LTPL | HD
29 | 536 | LTPL | STD
29 | 590 | HTPL | HD
29 | 501 | HTPL | HD
29 | 424 | HTPL | HD
29 | 626 | HTPL | SDD
29 | 567 | LTPL | HD
