Year;Family_Year;Week;Condition;Dyad;ID1;ID2;Agonistic;Cofeeding;Kleptoparasitism;family_size;dyad_identity;N_sessions;Total_obs_time
2019;FamHT_2019;1;onepiece;Cleo-Genghis;Cleo;Genghis;0;0;0;big;chicks;2;1800
2019;FamHT_2019;1;onepiece;Cleo-Heidi;Cleo;Heidi;0;0;0;big;parent-daughter;2;1800
2019;FamHT_2019;1;onepiece;Cleo-Tom;Cleo;Tom;0;0;0;big;parent-daughter;2;1800
2019;FamHT_2019;1;onepiece;Cleo-Xerxes;Cleo;Xerxes;0;0;0;big;chicks;2;1800
2019;FamHT_2019;1;onepiece;Genghis-Heidi;Genghis;Heidi;0;0;0;big;parent-son;2;1800
2019;FamHT_2019;1;onepiece;Genghis-Tom;Genghis;Tom;0;0;0;big;parent-son;2;1800
2019;FamHT_2019;1;onepiece;Genghis-Xerxes;Genghis;Xerxes;0;0;0;big;chicks;2;1800
2019;FamHT_2019;1;onepiece;Heidi-Tom;Heidi;Tom;1;9;1;big;parents;2;1800
2019;FamHT_2019;1;onepiece;Heidi-Xerxes;Heidi;Xerxes;0;0;0;big;parent-son;2;1800
2019;FamHT_2019;1;onepiece;Tom-Xerxes;Tom;Xerxes;0;0;0;big;parent-son;2;1800
2019;FamJR_2019;1;onepiece;Hamlet-Joey;Hamlet;Joey;0;2;0;big;parent-son;2;1800
2019;FamJR_2019;1;onepiece;Hamlet-Juliet;Hamlet;Juliet;0;0;0;big;chicks;2;1800
2019;FamJR_2019;1;onepiece;Hamlet-Othello;Hamlet;Othello;0;0;0;big;chicks;2;1800
2019;FamJR_2019;1;onepiece;Hamlet-Rocky;Hamlet;Rocky;3;1;0;big;parent-son;2;1800
2019;FamJR_2019;1;onepiece;Joey-Juliet;Joey;Juliet;0;0;0;big;parent-daughter;2;1800
2019;FamJR_2019;1;onepiece;Joey-Othello;Joey;Othello;0;0;0;big;parent-son;2;1800
2019;FamJR_2019;1;onepiece;Joey-Rocky;Joey;Rocky;8;6;1;big;parents;2;1800
2019;FamJR_2019;1;onepiece;Juliet-Othello;Juliet;Othello;0;0;0;big;chicks;2;1800
2019;FamJR_2019;1;onepiece;Juliet-Rocky;Juliet;Rocky;0;0;0;big;parent-daughter;2;1800
2019;FamJR_2019;1;onepiece;Othello-Rocky;Othello;Rocky;0;0;0;big;parent-son;2;1800
2019;FamMA_2019;1;onepiece;Arthus-Martha;Arthus;Martha;1;18;0;small;parents;2;1800
2019;FamMA_2019;1;onepiece;Arthus-Summer;Arthus;Summer;0;0;0;small;parent-daughter;2;1800
2019;FamMA_2019;1;onepiece;Arthus-Winter;Arthus;Winter;0;0;0;small;parent-daughter;2;1800
2019;FamMA_2019;1;onepiece;Martha-Summer;Martha;Summer;0;0;0;small;parent-daughter;2;1800
2019;FamMA_2019;1;onepiece;Martha-Winter;Martha;Winter;0;0;0;small;parent-daughter;2;1800
2019;FamMA_2019;1;onepiece;Summer-Winter;Summer;Winter;0;0;0;small;chicks;2;1800
2019;FamML_2019;1;onepiece;Ganymed-Io;Ganymed;Io;0;0;0;big;chicks;2;1800
2019;FamML_2019;1;onepiece;Ganymed-Kallisto;Ganymed;Kallisto;0;0;0;big;chicks;2;1800
2019;FamML_2019;1;onepiece;Ganymed-Lellan;Ganymed;Lellan;0;0;0;big;parent-daughter;2;1800
2019;FamML_2019;1;onepiece;Ganymed-Matte;Ganymed;Matte;0;0;0;big;parent-daughter;2;1800
2019;FamML_2019;1;onepiece;Io-Kallisto;Io;Kallisto;0;0;0;big;chicks;2;1800
2019;FamML_2019;1;onepiece;Io-Lellan;Io;Lellan;0;0;0;big;parent-daughter;2;1800
